km2_to_mi2(country = Samoa, surface_area_mi2 = 1096.524)
km2_to_mi2(country = San Marino, surface_area_mi2 = 23.166)
km2_to_mi2(country = Sao Tome and Principe, surface_area_mi2 = 370.656)
km2_to_mi2(country = Saudi Arabia, surface_area_mi2 = 829995.309)
km2_to_mi2(country = Senegal, surface_area_mi2 = 75953.592)
km2_to_mi2(country = Serbia, surface_area_mi2 = 34115.796)
km2_to_mi2(country = Seychelles, surface_area_mi2 = 177.606)
km2_to_mi2(country = Sierra Leone, surface_area_mi2 = 27698.814)
km2_to_mi2(country = Singapore, surface_area_mi2 = 274.131)
km2_to_mi2(country = Slovak Republic, surface_area_mi2 = 18934.344)
km2_to_mi2(country = Slovenia, surface_area_mi2 = 7826.247)
km2_to_mi2(country = Solomon Islands, surface_area_mi2 = 11158.29)
km2_to_mi2(country = Somalia, surface_area_mi2 = 246200.526)
km2_to_mi2(country = South Africa, surface_area_mi2 = 470690.649)
km2_to_mi2(country = Spain, surface_area_mi2 = 195123.357)
km2_to_mi2(country = Sri Lanka, surface_area_mi2 = 25332.021)
km2_to_mi2(country = Sudan, surface_area_mi2 = 967493.241)
km2_to_mi2(country = Suriname, surface_area_mi2 = 63250.902)
km2_to_mi2(country = Swaziland, surface_area_mi2 = 6702.696)
km2_to_mi2(country = Sweden, surface_area_mi2 = 173860.83)
km2_to_mi2(country = Switzerland, surface_area_mi2 = 15938.208)
km2_to_mi2(country = Syria, surface_area_mi2 = 71497.998)
km2_to_mi2(country = Tajikistan, surface_area_mi2 = 55038.555)
km2_to_mi2(country = Tanzania, surface_area_mi2 = 365752.52999999997)
km2_to_mi2(country = Thailand, surface_area_mi2 = 198115.632)
km2_to_mi2(country = Timor-Leste, surface_area_mi2 = 5741.307)
km2_to_mi2(country = Togo, surface_area_mi2 = 21926.619)
km2_to_mi2(country = Tonga, surface_area_mi2 = 289.575)
km2_to_mi2(country = Trinidad and Tobago, surface_area_mi2 = 1980.693)
km2_to_mi2(country = Tunisia, surface_area_mi2 = 63169.820999999996)
km2_to_mi2(country = Turkey, surface_area_mi2 = 302532.516)
km2_to_mi2(country = Turkmenistan, surface_area_mi2 = 188455.41)
km2_to_mi2(country = Turks and Caicos Islands, surface_area_mi2 = 366.795)
km2_to_mi2(country = Tuvalu, surface_area_mi2 = 11.583)
km2_to_mi2(country = Uganda, surface_area_mi2 = 93262.455)
km2_to_mi2(country = Ukraine, surface_area_mi2 = 233030.655)
km2_to_mi2(country = United Arab Emirates, surface_area_mi2 = 32277.96)
km2_to_mi2(country = United Kingdom, surface_area_mi2 = 94057.821)
km2_to_mi2(country = United States, surface_area_mi2 = 3795946.011)
km2_to_mi2(country = Uruguay, surface_area_mi2 = 68038.542)
km2_to_mi2(country = Uzbekistan, surface_area_mi2 = 172741.14)
km2_to_mi2(country = Vanuatu, surface_area_mi2 = 4706.559)
km2_to_mi2(country = Venezuela, surface_area_mi2 = 352142.505)
km2_to_mi2(country = Vietnam, surface_area_mi2 = 127818.405)
km2_to_mi2(country = Virgin Islands {U.S.), surface_area_mi2 = 135.135)
km2_to_mi2(country = West Bank and Gaza, surface_area_mi2 = 2324.322)
km2_to_mi2(country = Yemen, Rep., surface_area_mi2 = 203849.217)
km2_to_mi2(country = Zambia, surface_area_mi2 = 290582.721)
km2_to_mi2(country = Zimbabwe, surface_area_mi2 = 150872.436)
